ID,Period,Match clock,Video time (s),Action,Team,Player,Second player,Successful,X (m),Y (m),End X (m),End Y (m),Norm X,Norm Y,Norm end X,Norm end Y,Goal X (m),Goal Y (m),Miss,On target,Pass outcome,xG,xT
2ca24c27-c8b3-4213-bf19-d9259f043e8a,2nd half,26:21,1581.52,Pass,Team Sempu,Wojtek,,1,74.13,33.05,56.99,28.97,30.87,34.95,48.01,39.03,,,,,,,0.004
5dacd73a-c69d-4a76-8551-11d40acd9ee2,2nd half,26:23,1583.54,Pass,Team Sempu,Hubert,,1,51.28,28.56,45.56,39.99,53.72,39.44,59.44,28.01,,,,,,,0
de92e8fd-7080-46c7-b9b8-4e82ce2413d6,2nd half,26:25,1585.69,Pass,Team Sempu,Sempu,Mateusz,0,41.07,42.44,32.1,42.84,63.93,25.56,72.9,25.16,,,,,intercepted,,
2e75b30e-efd9-49df-9362-d9add157527e,2nd half,26:27,1587.14,Pass,Team Matto,Mateusz,,1,31.28,43.25,36.18,36.31,31.28,43.25,36.18,36.31,,,,,,,0.002
9e991320-4a55-4bcb-bdc7-e6d56db0a33d,2nd half,26:28,1588.57,Pass,Team Matto,Krzysiek K,,1,36.18,36.31,46.38,40.8,36.18,36.31,46.38,40.8,,,,,,,0.002
b9429164-bfbe-4fc5-9c40-0507b98fefe9,2nd half,26:29,1589.92,Pass,Team Matto,Marek,,1,52.91,37.13,83.1,60.39,52.91,37.13,83.1,60.39,,,,,,,0.011
fe2b8cf2-95dc-4feb-9e97-f6c065841173,2nd half,26:37,1597.54,Pass,Team Matto,Wojtunia,Wojtek,0,101.47,57.53,101.06,48.96,101.47,57.53,101.06,48.96,,,,,intercepted,,
9657f3aa-92dc-4a27-b853-69b8b731f732,2nd half,26:42,1602.21,Pass,Team Sempu,Kroma,,1,93.71,42.84,79.02,43.66,11.29,25.16,25.98,24.34,,,,,,,0
3e856ff2-0e71-4d7b-bf33-f85494ab2e25,2nd half,26:45,1605.13,Pass,Team Sempu,Sempu,,1,77.8,43.25,75.35,20.4,27.2,24.75,29.65,47.6,,,,,,,0
13a0a812-5565-4c92-a449-a4fc8baeba30,2nd half,26:52,1612.16,Pass,Team Sempu,Bartek,Krzysiek K,0,60.66,18.36,45.56,27.34,44.34,49.64,59.44,40.66,,,,,intercepted,,
56ac459e-9d92-42d7-92fc-f567b7717069,2nd half,26:54,1614.73,Pass,Team Matto,Krzysiek K,,1,52.91,24.89,67.6,14.69,52.91,24.89,67.6,14.69,,,,,,,0.002
480ff9f6-b0c1-4beb-8d77-cc02ff1b7f71,2nd half,26:57,1617.53,Pass,Team Matto,Łukasz (?),,1,75.76,12.65,80.66,17.95,75.76,12.65,80.66,17.95,,,,,,,0.005
0287eb11-ed15-4191-8ab5-8ed515c7160c,2nd half,26:58,1618.86,Pass,Team Matto,Michał W,,1,80.66,17.54,102.69,2.04,80.66,17.54,102.69,2.04,,,,,,,0.009
fd859413-9814-4a04-b72d-751ab3ee3948,2nd half,27:06,1626.1,Pass,Team Matto,Filip,,0,103.1,1.63,105,28.15,103.1,1.63,105,28.15,,,,,out,,
ca7008df-eb3a-420b-8d18-c889755c1d8e,2nd half,27:13,1633.29,Pass,Team Sempu,Kroma,,1,99.43,27.34,64.33,7.75,5.57,40.66,40.67,60.25,,,,,,,0.002
968c3aae-4aa3-40e7-bd6d-9ae1653f887f,2nd half,27:18,1638.73,Pass,Team Sempu,Bartek,,1,60.66,7.75,64.33,19.18,44.34,60.25,40.67,48.82,,,,,,,0
ed45f355-d23f-436a-922b-960afca4663f,2nd half,27:21,1641.69,Pass,Team Sempu,Roszkol,Tomek E,0,50.87,21.22,14.96,25.3,54.13,46.78,90.04,42.7,,,,,intercepted,,
33921926-5b16-487d-ad52-418838769186,2nd half,27:25,1645.91,Pass,Team Matto,Tomek E,,1,15.37,24.89,28.83,14.28,15.37,24.89,28.83,14.28,,,,,,,0.001
19fc6f9e-64a8-48ca-8434-bdc288f42096,2nd half,27:34,1654.49,Pass,Team Matto,Marek,,1,29.65,10.2,21.08,11.01,29.65,10.2,21.08,11.01,,,,,,,-0.001
c7835ea5-acfb-4de7-b15d-a8b5f77a1b20,2nd half,27:36,1656.04,Pass,Team Matto,Dawid,,0,20.67,11.01,39.12,0,20.67,11.01,39.12,0,,,,,out,,
04297490-37a3-4697-87f1-92d5f032a6f7,2nd half,27:44,1664.35,Pass,Team Sempu,Hubert,,1,40.26,0,36.99,9.79,64.74,68,68.01,58.21,,,,,,,0.001
7692a47e-9f17-4a1b-8ed6-fc79cfe50e23,2nd half,27:48,1668.96,Pass,Team Sempu,Roszkol,,1,34.55,10.2,26.38,0.81,70.45,57.8,78.62,67.19,,,,,,,-0.003
cff734e8-27c0-4ab7-aa75-aef13de4f3c4,2nd half,27:50,1670.39,Dribble,Team Sempu,Bartek,Marek,1,23.53,0.81,,,81.47,67.19,,,,,,,,,
788012b0-5382-4081-81e5-dccc10d9e68f,2nd half,27:52,1672.8,Pass,Team Sempu,Bartek,Tomek E,0,8.39,1.06,1.08,30.19,96.61,66.94,103.92,37.81,,,,,intercepted,,
efb87a96-5e09-4d8c-9675-58135aa42be6,2nd half,28:01,1681.69,Pass,Team Matto,Tomek E,,1,15.37,25.7,23.75,50.15,15.37,25.7,23.75,50.15,,,,,,,-0.001
e7ca6ff1-f404-4be1-a492-251d5c5db77e,2nd half,28:08,1688.17,Pass,Team Matto,Wojtunia,Kroma,0,36.99,52.64,86.78,34.68,36.99,52.64,86.78,34.68,,,,,intercepted,,
afe5bdc9-e641-47aa-b48b-da70b6608606,2nd half,28:14,1694.87,Pass,Team Sempu,Kroma,,1,85.96,35.91,71.28,56.98,19.04,32.09,33.72,11.02,,,,,,,0
95184c0c-2780-4acb-9637-42ac81f7b496,2nd half,28:18,1698.53,Pass,Team Sempu,Kacper,,1,70.45,57.53,46.38,59.98,34.55,10.47,58.62,8.02,,,,,,,0.004
dc2adcf7-9637-497a-8a4e-a1faf6a823e2,2nd half,28:21,1701.24,Pass,Team Sempu,Sempu,,1,43.52,59.57,48.01,51.41,61.48,8.43,56.99,16.59,,,,,,,-0.001
929dda6a-b5cc-4b32-b794-9d8dd819a7c2,2nd half,28:23,1703.81,Pass,Team Sempu,Hubert,,0,41.89,50.19,0.27,57.53,63.11,17.81,104.73,10.47,,,,,out,,
784fa830-2cd2-4308-8d56-62872f09e92c,2nd half,28:37,1717.88,Pass,Team Matto,Tomek E,,1,5.16,41.62,8.02,57.94,5.16,41.62,8.02,57.94,,,,,,,-0.002
23024efc-a370-4333-9882-aadc59984588,2nd half,28:42,1722.23,Pass,Team Matto,Mateusz,,1,12.92,56.31,28.02,61.21,12.92,56.31,28.02,61.21,,,,,,,0.001
702ae57a-e25a-4b01-94cb-994a16f7b5e7,2nd half,28:46,1726.13,Pass,Team Matto,Wojtunia,,1,28.02,60.8,19.85,54.68,28.02,60.8,19.85,54.68,,,,,,,0
